filename,label,target,probs
glide_text2img_annot000000037890.png,0,glide,"tensor([[9.9805e-01, 1.3359e-03, 1.6063e-04, 1.5244e-06, 1.1034e-04, 3.4264e-04,
         1.5424e-06]])"
glide_text2img_annot000000056987.png,0,glide,"tensor([[9.9964e-01, 1.0463e-04, 1.4566e-05, 2.9963e-06, 1.7052e-04, 5.9272e-05,
         3.7137e-06]])"
glide_text2img_annot000000038422.png,0,glide,"tensor([[9.9887e-01, 4.0164e-04, 4.3643e-04, 1.7388e-06, 3.7120e-05, 2.5135e-04,
         4.8056e-06]])"
glide_text2img_annot000000039530.png,0,glide,"tensor([[9.9993e-01, 6.3471e-06, 4.9615e-05, 1.7614e-07, 3.3766e-06, 1.0968e-05,
         3.4771e-07]])"
glide_text2img_annot000000052051.png,0,glide,"tensor([[9.9957e-01, 3.1307e-04, 6.2914e-05, 1.9339e-07, 1.7928e-05, 3.0280e-05,
         6.5913e-07]])"
glide_text2img_annot000000123259.png,0,glide,"tensor([[1.0000e+00, 1.1972e-06, 1.4716e-06, 4.8413e-09, 5.5387e-08, 6.2443e-07,
         1.0903e-08]])"
glide_text2img_annot000000035350.png,0,glide,"tensor([[9.9976e-01, 1.2469e-04, 2.0147e-05, 5.2970e-07, 5.5628e-06, 8.6689e-05,
         8.9037e-07]])"
glide_text2img_annot000000096565.png,0,glide,"tensor([[9.5815e-01, 2.5335e-02, 8.5036e-03, 1.6879e-04, 3.9261e-04, 6.9965e-03,
         4.5669e-04]])"
glide_text2img_annot000000043869.png,0,glide,"tensor([[9.9965e-01, 1.6894e-04, 4.6342e-05, 2.7121e-06, 5.1548e-05, 7.8125e-05,
         2.7624e-06]])"
glide_text2img_annot000000041747.png,0,glide,"tensor([[9.9999e-01, 4.9348e-06, 7.7001e-07, 5.2076e-08, 5.3221e-06, 3.3661e-06,
         4.4406e-08]])"
glide_text2img_annot000000084238.png,0,glide,"tensor([[9.9994e-01, 3.3647e-05, 1.6477e-05, 8.2877e-08, 1.8598e-06, 1.2021e-05,
         1.3112e-07]])"
glide_text2img_annot000000063573.png,0,glide,"tensor([[9.9965e-01, 6.7117e-05, 1.8396e-05, 1.3401e-07, 8.7548e-07, 2.6428e-04,
         7.1159e-07]])"
glide_text2img_annot000000116201.png,0,glide,"tensor([[9.9420e-01, 1.6504e-04, 4.6963e-03, 2.2187e-05, 1.6078e-04, 6.4320e-04,
         1.0924e-04]])"
glide_text2img_annot000000088366.png,0,glide,"tensor([[9.9969e-01, 7.3452e-05, 1.7088e-04, 5.8353e-07, 7.6972e-06, 5.8314e-05,
         9.7290e-07]])"
glide_text2img_annot000000050649.png,0,glide,"tensor([[9.9997e-01, 3.0589e-06, 1.8251e-05, 1.8104e-08, 1.0018e-06, 4.2375e-06,
         8.7057e-08]])"
glide_text2img_annot000000076518.png,0,glide,"tensor([[1.0000e+00, 1.0931e-06, 1.4348e-07, 1.9768e-09, 6.6938e-08, 1.3053e-06,
         4.9281e-09]])"
glide_text2img_annot000000034464.png,0,glide,"tensor([[9.3549e-01, 6.8090e-03, 4.8729e-02, 2.5249e-04, 1.0406e-03, 7.4268e-03,
         2.5429e-04]])"
